,Unnamed: 0,coin,base_date,base_price,max_date,max_price,pct_change,pump_length,date_listing,pump_to_listing,state
0,0,10set,09-06-2022,0.27661005460358323,25-06-2022,3.7528809281921087,12.567406049539509,16,02-04-2021,433,bullish
3,3,ach,21-07-2021,0.0013679780673833935,07-08-2021,0.1592295630836546,115.3977456072974,17,08-09-2020,316,bearish
10,10,agix,29-05-2021,0.037961099296640516,09-06-2021,0.8049102764458033,20.20355551760948,11,22-01-2018,1223,bearish
16,16,alu,13-10-2021,0.037772617907835725,03-11-2021,0.4265516558026806,10.292615641400774,21,30-04-2021,166,bearish
19,19,amp,28-01-2021,0.005663694500507119,14-02-2021,0.036486461115999326,5.4421661713449385,17,09-09-2020,141,bearish
20,20,ampl,25-10-2019,0.2266286924828529,18-11-2019,1.3914236080528777,5.13966216196634,24,29-06-2019,118,bullish
26,26,aog,04-10-2019,0.0020325624600752573,08-10-2019,0.026953660601759268,12.260926112332747,4,20-09-2018,379,bearish
27,27,aog,13-04-2020,0.0009846150519622005,07-05-2020,0.010191491303120087,9.350736851736997,24,20-09-2018,571,bearish
31,31,aog,20-03-2022,0.010534154511748892,08-04-2022,0.2289438885069673,20.733484946667808,19,20-09-2018,1277,bearish
32,32,aog,28-05-2022,0.012309262790571115,05-06-2022,0.21005308431105246,16.064635623179072,8,20-09-2018,1346,bearish
40,40,arrr,04-04-2021,0.28379014165860245,24-04-2021,13.044486350181367,44.96525543115516,20,10-02-2019,784,bearish
46,46,ast,28-07-2020,0.050258513164294534,18-08-2020,0.3146276128958527,5.260185450917311,21,22-10-2017,1010,bullish
47,47,atm,11-12-2020,3.937028780666792,30-12-2020,26.086615265347753,5.6259650916063695,19,22-06-2020,172,bearish
48,48,atm,25-04-2021,8.657104981685615,22-05-2021,52.248456545064535,5.035326665853981,27,22-06-2020,307,bearish
55,55,avinoc,06-06-2019,0.0008742584352521215,28-06-2019,0.00600416061030253,5.8677182492051445,22,10-08-2018,300,bearish
56,56,avinoc,03-09-2019,3.014038964175072e-05,28-09-2019,0.001899904477985132,62.03516645164296,25,10-08-2018,389,bearish
59,59,avt,21-05-2020,0.03248671491707393,19-06-2020,0.2734842930942369,7.418342506847397,29,18-10-2017,946,bearish
60,60,avt,15-01-2021,0.08779046263013242,30-01-2021,1.207928886670146,12.75922680529932,15,18-10-2017,1185,bearish
80,80,bel,13-05-2022,0.2446582077646121,08-06-2022,1.8616261713981217,6.609089383950728,26,15-09-2020,605,bearish
93,93,box,16-01-2021,0.0011669047493562928,15-02-2021,0.12749334512641708,108.25771379090456,30,27-10-2018,812,bearish
94,94,box,17-03-2022,0.00800050860345757,15-04-2022,0.9008525168864412,111.59940605490014,29,27-10-2018,1237,bearish
96,96,bsw,14-03-2022,0.28587945928693204,02-04-2022,1.7341854473536964,5.066142183419783,19,04-07-2021,253,bearish
100,100,btnt,04-04-2019,0.001627775892071064,26-04-2019,0.05745525192778056,34.29678268835808,22,25-10-2018,161,bullish
126,126,coval,31-03-2017,1e-05,01-04-2017,0.00155,153.99999999999997,1,23-01-2015,798,bearish
130,130,coval,04-09-2020,0.001121821849921168,30-09-2020,0.009645668611021271,7.5982178112318675,26,23-01-2015,2051,bullish
132,132,coval,11-11-2021,0.00990096213807273,11-12-2021,0.17800957250534805,16.979017596768475,30,23-01-2015,2484,bearish
139,139,ctsi,13-01-2021,0.04475072878981448,12-02-2021,0.32131686176036617,6.180148132771856,30,24-04-2020,264,bearish
140,140,ctx,18-08-2021,6.4488333393637065,14-09-2021,42.74249226551103,5.62794183323217,27,22-04-2021,118,bullish
143,143,cxo,14-04-2019,0.00031143234688605216,21-04-2019,0.01195891669822338,37.39972571185403,7,02-02-2018,436,bearish
159,159,dep,28-10-2021,0.006759548485155311,25-11-2021,0.07466934242878856,10.04649853355892,28,14-04-2020,562,bullish
164,164,dexe,27-06-2021,2.8004366785873125,25-07-2021,19.93510664563588,6.118570756505088,28,06-10-2020,264,bearish
170,170,dgb,14-01-2015,3.098662207874696e-05,07-02-2015,0.00020448481949208468,5.599132327893732,24,06-02-2014,342,bullish
190,190,dvpn,10-09-2021,0.006080667292025128,27-09-2021,0.10580816023833138,16.400748167409212,17,03-04-2018,1256,bearish
191,191,dvpn,28-10-2021,0.002789703818529893,05-11-2021,0.036504953731670016,12.085601951431265,8,03-04-2018,1304,bearish
192,192,dvpn,26-01-2022,0.0018572441637237191,29-01-2022,0.017664006755929544,8.510869438143091,3,03-04-2018,1394,bearish
193,193,dvpn,25-02-2022,0.001031723735474365,16-03-2022,0.012479018012465379,11.095309609919742,19,03-04-2018,1424,bearish
195,195,egld,13-01-2021,31.74842297313683,10-02-2021,196.71411879398806,5.196028034539952,28,03-09-2020,132,bullish
199,199,enj,07-02-2019,0.025057225931720474,09-03-2019,0.2099490065041711,7.378780918377409,30,10-11-2017,454,bearish
202,202,erg,07-02-2019,0.9120671183695434,28-02-2019,5.835027920481746,5.397586101900848,21,02-02-2018,370,bearish
210,210,exrd,21-10-2021,0.10174129916875772,15-11-2021,0.6238909880612571,5.132131132180773,25,18-11-2020,337,bearish
224,224,flux,30-03-2019,0.02549728709903401,20-04-2019,0.21812852308483874,7.5549698772895235,21,31-07-2018,242,bearish
225,225,flux,23-10-2021,0.3472771489332305,13-11-2021,2.761804679315687,6.952739441104684,21,31-07-2018,1180,bearish
228,228,fox,16-12-2020,0.1491987665528753,11-01-2021,0.9613217434396378,5.443228490759339,26,19-06-2020,180,bearish
237,237,fuse,17-10-2021,0.08061718814888606,15-11-2021,0.6231878015066339,6.73021009310959,29,14-01-2020,642,bearish
238,238,fuse,23-12-2021,0.21512179632122044,20-01-2022,2.0160155522241827,8.371507614290572,28,14-01-2020,709,bearish
242,242,gala,28-10-2021,0.07519356834312384,26-11-2021,0.7192389817668723,8.565166245134634,29,16-09-2020,407,bearish
253,253,grid,05-08-2018,0.17035966075645226,17-08-2018,1.9854421900544927,10.654415025473076,12,10-11-2017,268,bearish
257,257,grs,28-11-2014,7.700669200210494e-05,17-12-2014,0.0009411765166219103,11.222009440376738,19,11-04-2014,231,bearish
259,259,grs,11-01-2017,0.00089407635,04-02-2017,0.007834915400000001,7.763139076433463,24,11-04-2014,1006,bearish
260,260,grs,14-03-2017,0.00393908852,12-04-2017,0.03134683327,6.957890032387493,29,11-04-2014,1068,bearish
262,262,grs,21-10-2017,0.07498096606644677,01-11-2017,0.9713826985952779,11.955057123890032,11,11-04-2014,1289,bearish
266,266,gxc,19-11-2021,0.5524465446394113,04-12-2021,3.7101717985094025,5.715892848838572,15,12-11-2017,1468,bearish
267,267,gxt,19-11-2021,0.08156778901844111,12-12-2021,0.523067062129189,5.412666916972977,23,24-08-2020,452,bullish
268,268,gxt,16-02-2022,0.054531747766090766,04-03-2022,0.459731418549,7.430527855460975,16,24-08-2020,541,bullish
290,290,inv,22-09-2021,108.33324013190878,18-10-2021,1452.6370895062162,12.408969285303895,26,05-03-2021,201,bearish
292,292,iotx,21-07-2021,0.016868725488478502,13-08-2021,0.11261856787866252,5.676175266209773,23,26-05-2018,1152,bullish
307,307,kin,16-10-2020,4.177154898394767e-06,27-10-2020,3.588972764304195e-05,7.591907294803447,11,22-10-2017,1090,bearish
309,309,kishu,29-09-2021,4.3222732884016076e-10,29-10-2021,9.668927626266653e-09,21.37000527526166,30,20-04-2021,162,bearish
341,341,luffy,19-04-2022,1.0577405999661855e-11,09-05-2022,1.677166558307199e-09,157.56123499096242,20,16-08-2021,246,bearish
351,351,matic,20-04-2021,0.3266754095884679,19-05-2021,2.450046072959683,6.499940310922542,29,27-04-2019,724,bullish
364,364,mmpro,11-03-2022,0.10818647991814342,10-04-2022,0.8242020468680619,6.618346095479523,30,15-11-2021,116,bearish
366,366,mnw,13-01-2021,0.4189278919031522,09-02-2021,4.0487889904918966,8.664644127891814,27,24-05-2018,965,bearish
375,375,nct,11-01-2022,0.019015871006965883,14-01-2022,0.16156400410996566,7.496271564462212,3,07-04-2018,1375,bearish
378,378,neo,16-07-2017,5.02,15-08-2017,47.90401386765125,8.542632244552042,30,09-09-2016,310,bearish
396,396,nu,22-09-2021,0.25565349621880584,17-10-2021,1.565787668400518,5.124647976886688,25,15-10-2020,342,bearish
417,417,pac,26-02-2018,2.034902785430969e-05,10-03-2018,0.01659284777534436,814.4123083491768,12,30-09-2017,149,bearish
438,438,pnd,21-07-2021,6.847525532412938e-05,14-08-2021,0.000925559104533786,12.51669446360774,24,27-02-2014,2701,bearish
439,439,pnd,23-08-2021,4.810193941297789e-05,16-09-2021,0.0006760382910536341,13.054283451016927,24,27-02-2014,2734,bullish
441,441,pnd,27-01-2022,6.220044211957204e-05,12-02-2022,0.0006112605489502126,8.82727016272884,16,27-02-2014,2891,bearish
445,445,pny,20-02-2019,0.00012526866723475054,23-02-2019,0.3027181194185554,2415.5509708127474,3,13-06-2018,252,bearish
446,446,pny,24-06-2019,0.004385709320797661,04-07-2019,0.030732044704412813,6.007314542867002,10,13-06-2018,376,bearish
447,447,pny,30-01-2021,0.00683419880221783,22-02-2021,0.17681779521759244,24.87249805496025,23,13-06-2018,962,bearish
457,457,pro,22-04-2020,0.038282410573974086,14-05-2020,0.2487486535017037,5.497727018026731,22,29-10-2017,906,bearish
458,458,prom,26-01-2021,2.3200004774546485,18-02-2021,25.91288442992088,10.169344438390283,23,29-06-2019,577,bullish
467,467,qtum,10-12-2017,11.2272,06-01-2018,100.224,7.926891834117143,27,14-06-2017,179,bullish
479,479,req,21-07-2021,0.04239335034617119,13-08-2021,0.3944669849072308,8.304925930272875,23,30-10-2017,1360,bearish
483,483,rfr,03-10-2020,0.00027436018347837303,13-10-2020,0.002220461412968316,7.093234903173727,10,28-03-2018,920,bearish
484,484,rfr,22-11-2020,0.00041150505162319286,07-12-2020,0.004880993233248812,10.861320326434877,15,28-03-2018,970,bearish
490,490,rlc,25-04-2021,1.8839229254328285,10-05-2021,12.959429493578154,5.878959493844866,15,20-04-2017,1466,bearish
511,511,sbd,21-11-2017,0.95851183623324,19-12-2017,14.1765111281915,13.790126310700927,28,18-07-2016,491,bearish
529,529,shr,25-10-2019,0.0004129874762144379,22-11-2019,0.00465370964097497,10.268403787040256,28,21-06-2019,126,bearish
532,532,six,27-03-2021,0.02878329282335922,03-04-2021,0.1810667775677773,5.290690181938867,7,25-09-2018,914,bearish
533,533,six,31-10-2021,0.0585417839599169,30-11-2021,0.4194730721406665,6.165361964846791,30,25-09-2018,1132,bearish
535,535,slp,05-07-2020,0.0032848958293838705,08-07-2020,0.1938234219562456,58.00443485070879,3,11-01-2020,176,bearish
537,537,slp,25-04-2021,0.03347776125481327,02-05-2021,0.3645333108709272,9.888819837632255,7,11-01-2020,470,bearish
541,541,snow,07-05-2021,0.3240277137707109,04-06-2021,3.1683403328913564,8.777991814408022,28,14-03-2019,785,bearish
547,547,solve,30-09-2021,0.06431367904245966,24-10-2021,0.4590268441055574,6.137312791614821,24,08-01-2018,1361,bearish
564,564,sure,29-12-2020,0.0005627030639355693,27-01-2021,0.010347319530989245,17.38859639153135,29,09-01-2020,355,bearish
594,594,tru,21-07-2021,0.1172532180858708,12-08-2021,0.7374661364061135,5.289517238375732,22,22-11-2020,241,bearish
599,599,twt,03-10-2020,0.021279097653404702,12-10-2020,0.1671180848850164,6.853626483934913,9,29-04-2020,157,bearish
601,601,ubsn,05-11-2019,7.058655817106531e-07,15-11-2019,6.208648705458606e-06,7.79579464749089,10,25-05-2018,529,bearish
610,610,unfi,13-05-2022,1.7586873907534302,08-06-2022,23.07896911024856,12.122837652438855,26,19-11-2020,540,bearish
614,614,ustc,19-06-2022,0.006502223653732657,30-06-2022,0.08182226999064855,11.583736633494265,11,02-10-2020,625,bearish
616,616,veri,02-09-2021,1.0239229664654485e-35,27-09-2021,32.57530647479374,3.181421605107924e+36,25,18-06-2017,1537,bearish
655,655,xido,03-03-2022,5.585347602620066,19-03-2022,81.56188075348024,13.602829860619572,16,08-06-2021,268,bearish
656,656,xki,09-11-2021,0.033356538264391354,27-11-2021,0.48794663523205,13.628215654888294,18,21-05-2021,172,bearish
664,664,xpr,22-09-2021,0.006046114676547687,20-10-2021,0.04713684126745014,6.796220182572709,28,07-04-2020,533,bullish
671,671,xvg,06-02-2015,2.2345876097621183e-06,19-02-2015,3.3220481039725926e-05,13.866492991636338,13,25-10-2014,104,bearish
681,681,zig,22-11-2021,0.020934113638765062,01-12-2021,0.1779402478461798,7.500013466855183,9,15-04-2021,221,bearish
685,685,znn,24-08-2019,0.2337186445298273,17-09-2019,2.555385741735769,9.933598159772185,24,24-04-2019,122,bearish
